name,Nationality,Current status,Gender,Build,First appeared,Last appeared,Affiliation,Title,Rank,Date of death,First mentioned,Last mentioned,Date of birth,Eyes,Ajah,Hair,Height,Occupation,Clan,Sept,Society,Weight,Race,Hair color,Eye color
Meri do Ahlan a'Conlin,Murandian,Alive,Female,Plump,NS 5,NS 5,Murandy,Lady,Lady,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Katrine do Catalan a'Coralle,Murandian,Dead,Female,NA,NA,NA,Murandy,Queen of Murandy,Queen,FY 1048,NS 5,NS 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nisain a'Cowel,Murandian,Alive,Female,Gangly,COT 19,COT 19,White Tower,NA,Aes Sedai,NA,NA,NA,873 NE,Startlingly blue,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cian do Mehon a'Macansa,Murandian,Alive,Female,Stocky,TPOD 17,TPOD 18,NA,Lady,NA,NA,NA,NA,NA,Dark,NA,Graying,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaida do Avriny a'Roihan,Murandian,Alive,Female,NA,NS 5,TOM 47,White Tower,NA,Aes Sedai,NA,NS 2,NA,950 NE,Dark,Red Ajah,NA,"5'6"" or 168cm",Damane,NA,NA,NA,NA,NA,NA,NA
Segan do Avharin a'Roos,Murandian,Alive,Female,Slender,TPOD 17,TPOD 18,NA,Lady,NA,NA,NA,NA,NA,Dark,NA,"Long, Dark",Tall,NA,NA,NA,NA,NA,NA,NA,NA
Ellid Abareim,Unknown nationality,Dead,Female,NA,NS 8,NS 8,NA,NA,Accepted,979 NE,NS 4,NS 14,NA,"Large, sapphire colored",NA,"Waves, golden",Very tall,NA,NA,NA,NA,NA,NA,NA,NA
Rubinde Acedone,Mayener,Alive,Female,Sturdy,TPOD 25,AMOL Epilogue,White Tower,NA,Aes Sedai,NA,NA,NA,853 NE,"Blue, like sapphires",Green Ajah,Very dark,NA,Sitter,NA,NA,NA,NA,NA,NA,NA
Adela,Altaran,Alive,Female,Lanky,KOD 6,KOD 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stableman,NA,NA,NA,NA,NA,NA,NA
Adelin,Aiel,Alive,Female,NA,TSR 37,TFOH 44,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,Yellow,NA,NA,Taardad,Jindo,Far Dareis Mai,NA,NA,NA,NA
Adria,Unknown nationality,Alive,Female,Slim,WH 15,COT 2,Valan Luca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entertainer,NA,NA,NA,NA,NA,NA,NA
Adrielle,Unknown nationality,Alive,Female,NA,KOD 27,KOD 27,Turning,NA,Aes Sedai,NA,NA,NA,NA,NA,Gray Ajah,NA,Tall,NA,NA,NA,NA,NA,NA,NA,NA
Aelidas,Unknown nationality,NA,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aelmara,Unknown nationality,Alive,Female,NA,KOD 23,KOD 23,Romanda Cassin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Servant,NA,NA,NA,NA,NA,NA,NA
Aeron,Aiel,Alive,Female,NA,TFOH 23,TPOD Prologue,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,Graying,NA,Wise One,Nakai,Black Water,NA,NA,NA,NA,NA
Afara,Unknown nationality,Unknown,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,LOC 15,LOC 15,NA,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agirin,Aiel,Dead,Female,NA,NA,NA,Car'a'carn,NA,NA,999 NE,ACOS 2,ACOS 2,NA,NA,NA,NA,NA,NA,Daryne,Shelan,Far Dareis Mai,NA,NA,NA,NA
Marisa Ahan,Andoran,Alive,Female,NA,LOC 10,LOC 11,White Tower,NA,Novice,NA,NA,TPOD 30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mistress Ahan,Andoran,Alive,Female,NA,TSR 43,NA,Two Rivers,NA,NA,NA,NA,TSR 43,NA,NA,NA,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiko,Kandori,Alive,Female,Plump,NS 24,NS 24,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gray,NA,Maid,NA,NA,NA,NA,NA,NA,NA
Lelaine Akashi,Kandori,Alive,Female,Slender,NS 11,AMOL 37,White Tower,First Selector,Aes Sedai,NA,NA,NA,NA,"Dark, Penetrating",Blue Ajah,NA,NA,Sitter,NA,NA,NA,NA,NA,NA,NA
Carlys Ankerin,Andoran,Alive,Female,NA,LOC 1,LOC 2,House Marne,NA,NA,NA,NA,COT Prologue,NA,NA,NA,Gray,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milla al'Azar,Andoran,Alive,Female,NA,LOC Prologue,LOC Prologue,Two Rivers,Wisdom,NA,NA,NA,NA,NA,NA,NA,"Long, Braided",NA,Healer,NA,NA,NA,NA,NA,NA,NA
Jerilin al'Caar,Andor,Alive,Female,Skinny,LOC 10,LOC 11,White Tower,NA,Novice,NA,NA,TPOD 30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nela al'Caar,Andoran,Alive,Female,NA,TSR 45,TSR 45,Two Rivers,NA,NA,NA,TGH 23,NA,NA,NA,NA,"Gray, braided",NA,NA,NA,NA,NA,NA,NA,NA,NA
Mistress al'Donel,Andoran,Alive,Female,NA,TEOTW 1,TEOTW 1,Two Rivers,NA,NA,NA,NA,TOM 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleyan al'Landerin,Farashelle,Dead,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,TGS 26,TGS 26,NA,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elnore al'Meara,Andoran,Dead,Female,NA,NA,NA,Two Rivers,Women's Circle Member,NA,NA,NA,NA,NA,NA,NA,NA,NA,Farmer,NA,NA,NA,NA,NA,NA,NA
Nynaeve al'Meara,Andoran,Alive,Female,Slender,TEOTW Ravens,AMOL Epilogue,NA,Queen,Aes Sedai,NA,NA,NA,974 NE,Deep Brown,Yellow Ajah,"Dark, formerly long and braided","5'4"" or 163cm",NA,NA,NA,NA,NA,NA,NA,NA
Astelle al'Seen,Andoran,Alive,Female,NA,TSR 32,TSR 32,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elisa al'Seen,Andoran,Alive,Female,NA,TSR 32,TSR 32,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,Gray,NA,NA,NA,NA,NA,NA,NA,NA,NA
Susa al'Seen,Andoran,Alive,Female,Slight,LOC 10,LOC 11,White Tower,NA,Novice,NA,NA,TPOD 30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
