_id,height,race,gender,birth,spouse,death,realm,hair,name,wikiUrl,series
5cd99d4bde30eff6ebccfbbe,,Human,Female,,Belemir,,,,Adanel,http://lotr.wikia.com//wiki/Adanel,lotr
5cd99d4bde30eff6ebccfbbf,,Human,Male,"Before ,TA 1944",,"Late ,Third Age",,,Adrahil I,http://lotr.wikia.com//wiki/Adrahil_I,lotr
5cd99d4bde30eff6ebccfbc0,,Human,Male,TA 2917,Unnamed wife,TA 3010,,,Adrahil II,http://lotr.wikia.com//wiki/Adrahil_II,lotr
5cd99d4bde30eff6ebccfbc1,,Elf,Male,"YT during the ,Noontide of Valinor","Loved ,Andreth but remained unmarried",FA 455,,Golden,Aegnor,http://lotr.wikia.com//wiki/Aegnor,lotr
5cd99d4bde30eff6ebccfbc2,,Human,Female,"Mid ,First Age",Brodda,FA 495,,,Aerin,http://lotr.wikia.com//wiki/Aerin,lotr
5cd99d4bde30eff6ebccfbc3,,Human,Female,"Between ,SA 700, and ,SA 750",Orchaldor,"Early ,Second Age",,,Ailinel,http://lotr.wikia.com//wiki/Ailinel,lotr
5cd99d4bde30eff6ebccfbc4,,Human,Male,TA 2827,Unnamed wife,TA 2932,,,Aglahad,http://lotr.wikia.com//wiki/Aglahad,lotr
5cd99d4bde30eff6ebccfbc5,,Human,Male,"Late ,First Age",None known,FA 489,,,Algund,http://lotr.wikia.com//wiki/Algund,lotr
5cd99d4bde30eff6ebccfbc6,,Human,Female,"Between ,SA 700, and ,SA 750",,"Early ,Second Age",,,Almiel,http://lotr.wikia.com//wiki/Almiel,lotr
5cd99d4bde30eff6ebccfbc7,,Human,Male,TA 3017,,FO 95,,,Alphros,http://lotr.wikia.com//wiki/Alphros,lotr
5cd99d4bde30eff6ebccfbc8,,Human,Female,,Tar-Meneldur,,Númenor,,Almarian,http://lotr.wikia.com//wiki/Almarian,lotr
5cd99d4bde30eff6ebccfbc9,,Human,Male,"Late ,Second Age",Unnamed wife,Sailed West either SA 3310 fate unknown,,,Amandil,http://lotr.wikia.com//wiki/Amandil,lotr
5cd99d4bde30eff6ebccfbca,,Elf,Female,YT,"Loved ,Finrod, but it is unknown whether they married",Still alive,,,Amarië,http://lotr.wikia.com//wiki/Amari%C3%AB,lotr
5cd99d4bde30eff6ebccfbcb,,Human,Male,TA 2544,Unnamed wife,TA 2645,Rohan,,Aldor,http://lotr.wikia.com//wiki/Aldor,lotr
5cd99d4bde30eff6ebccfbcc,,Human,Male,TA 1330,Unnamed wife,TA 1540,Gondor,,Aldamir,http://lotr.wikia.com//wiki/Aldamir,lotr
