variable,value,name
Nationality,Murandian,Meri do Ahlan a'Conlin
Current status,Alive,Meri do Ahlan a'Conlin
Gender,Female,Meri do Ahlan a'Conlin
Build,Plump,Meri do Ahlan a'Conlin
First appeared,NS 5,Meri do Ahlan a'Conlin
Last appeared,NS 5,Meri do Ahlan a'Conlin
Affiliation,Murandy,Meri do Ahlan a'Conlin
Title,Lady,Meri do Ahlan a'Conlin
Rank,Lady,Meri do Ahlan a'Conlin
Nationality,Murandian,Katrine do Catalan a'Coralle
Date of death,FY 1048,Katrine do Catalan a'Coralle
Current status,Dead,Katrine do Catalan a'Coralle
Gender,Female,Katrine do Catalan a'Coralle
First mentioned,NS 5,Katrine do Catalan a'Coralle
Last mentioned,NS 5,Katrine do Catalan a'Coralle
Affiliation,Murandy,Katrine do Catalan a'Coralle
Title,Queen of Murandy,Katrine do Catalan a'Coralle
Rank,Queen,Katrine do Catalan a'Coralle
Nationality,Murandian,Nisain a'Cowel
Date of birth,873 NE,Nisain a'Cowel
Current status,Alive,Nisain a'Cowel
Gender,Female,Nisain a'Cowel
Build,Gangly,Nisain a'Cowel
Eyes,Startlingly blue,Nisain a'Cowel
First appeared,COT 19,Nisain a'Cowel
Last appeared,COT 19,Nisain a'Cowel
Affiliation,White Tower,Nisain a'Cowel
Rank,Aes Sedai,Nisain a'Cowel
Ajah,Gray Ajah,Nisain a'Cowel
Nationality,Murandian,Cian do Mehon a'Macansa
Current status,Alive,Cian do Mehon a'Macansa
Gender,Female,Cian do Mehon a'Macansa
Build,Stocky,Cian do Mehon a'Macansa
Hair,Graying,Cian do Mehon a'Macansa
Eyes,Dark,Cian do Mehon a'Macansa
First appeared,TPOD 17,Cian do Mehon a'Macansa
Last appeared,TPOD 18,Cian do Mehon a'Macansa
Title,Lady,Cian do Mehon a'Macansa
Nationality,Murandian,Elaida do Avriny a'Roihan
Date of birth,950 NE,Elaida do Avriny a'Roihan
Current status,Alive,Elaida do Avriny a'Roihan
Gender,Female,Elaida do Avriny a'Roihan
Height,"5'6"" or 168cm",Elaida do Avriny a'Roihan
Eyes,Dark,Elaida do Avriny a'Roihan
First mentioned,NS 2,Elaida do Avriny a'Roihan
First appeared,NS 5,Elaida do Avriny a'Roihan
Last appeared,TOM 47,Elaida do Avriny a'Roihan
Affiliation,White Tower,Elaida do Avriny a'Roihan
Occupation,Damane,Elaida do Avriny a'Roihan
Rank,Aes Sedai,Elaida do Avriny a'Roihan
Ajah,Red Ajah,Elaida do Avriny a'Roihan
Nationality,Murandian,Segan do Avharin a'Roos
Current status,Alive,Segan do Avharin a'Roos
Gender,Female,Segan do Avharin a'Roos
Height,Tall,Segan do Avharin a'Roos
Build,Slender,Segan do Avharin a'Roos
