name,height_in,gender,birth_year,birth_age,death_year,death_age,years_alive,hair,series
Meri do Ahlan a'Conlin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Katrine do Catalan a'Coralle,NA,Female,NA,NA,1048,FY,NA,NA,wot
Nisain a'Cowel,NA,Female,873,NE,NA,NA,NA,NA,wot
Cian do Mehon a'Macansa,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Elaida do Avriny a'Roihan,66,Female,950,NE,NA,NA,NA,NA,wot
Segan do Avharin a'Roos,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Ellid Abareim,NA,Female,NA,NA,979,NE,NA,Golden,wot
Rubinde Acedone,NA,Female,853,NE,NA,NA,NA,Dark,wot
Adela,NA,Female,NA,NA,NA,NA,NA,NA,wot
Adelin,NA,Female,NA,NA,NA,NA,NA,Yellow,wot
Adria,NA,Female,NA,NA,NA,NA,NA,NA,wot
Adrielle,NA,Female,NA,NA,NA,NA,NA,NA,wot
Aelidas,NA,Female,NA,NA,NA,NA,NA,NA,wot
Aelmara,NA,Female,NA,NA,NA,NA,NA,NA,wot
Aeron,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Afara,NA,Female,NA,NA,NA,NA,NA,NA,wot
Agirin,NA,Female,NA,NA,999,NE,NA,NA,wot
Marisa Ahan,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mistress Ahan,NA,Female,NA,NA,NA,NA,NA,Black,wot
Aiko,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Lelaine Akashi,NA,Female,NA,NA,NA,NA,NA,NA,wot
Carlys Ankerin,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Milla al'Azar,NA,Female,NA,NA,NA,NA,NA,NA,wot
Jerilin al'Caar,NA,Female,NA,NA,NA,NA,NA,NA,wot
Nela al'Caar,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Mistress al'Donel,NA,Female,NA,NA,NA,NA,NA,NA,wot
Eleyan al'Landerin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Elnore al'Meara,NA,Female,NA,NA,NA,NA,NA,NA,wot
Nynaeve al'Meara,64,Female,974,NE,NA,NA,NA,Dark,wot
Astelle al'Seen,NA,Female,NA,NA,NA,NA,NA,White,wot
Elisa al'Seen,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Susa al'Seen,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mistress al'Taron,NA,Female,NA,NA,NA,NA,NA,NA,wot
Joiya al'Thor,NA,Female,NA,NA,NA,NA,NA,NA,wot
Kari al'Thor,NA,Female,NA,NA,984,NE,NA,Red,wot
Alene al'Vere,NA,Female,969,NE,NA,NA,NA,NA,wot
Berowyn al'Vere,NA,Female,965,NE,NA,NA,NA,NA,wot
Egwene al'Vere,63,Female,981,NE,1000,NE,19,Brown,wot
Elisa al'Vere,NA,Female,972,NE,NA,NA,NA,NA,wot
Loise al'Vere,NA,Female,975,NE,NA,NA,NA,NA,wot
Marin al'Vere,64,Female,940,NE,NA,NA,NA,Gray,wot
Ala,NA,Female,NA,NA,NA,NA,NA,NA,wot
Alainia,NA,Female,NA,NA,NA,NA,NA,NA,wot
Alar,NA,Female,NA,NA,NA,NA,NA,NA,wot
Alarys,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Lacile Aldorwin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Alida Aldragoran,NA,Female,NA,NA,NA,NA,NA,NA,wot
Sybaine Aldwyn,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Teire Alentaine,NA,Female,NA,NA,NA,NA,NA,NA,wot
Alesinde,NA,Female,NA,NA,1035,FY,NA,NA,wot
Alfara,NA,Female,NA,NA,NA,NA,NA,Gray,wot
Marande Algoran,NA,Female,NA,NA,NA,NA,NA,NA,wot
Doniella Alievin,NA,Female,NA,NA,363,NE,NA,NA,wot
Alis,NA,Female,NA,NA,NA,NA,NA,NA,wot
Alivia,NA,Female,586,NE,NA,NA,NA,Golden,wot
Zarya Alkaese,NA,Female,NA,NA,NA,NA,NA,NA,wot
Tamore Alkohima,NA,Female,NA,NA,NA,NA,NA,NA,wot
Bastine Almadar,NA,Female,NA,NA,NA,NA,NA,NA,wot
Dumera Alman,NA,Female,NA,NA,NA,NA,NA,NA,wot
Alnora,NA,Female,NA,NA,NA,NA,NA,Black,wot
Desandre Alraed,NA,Female,NA,NA,NA,NA,NA,NA,wot
Katerine Alruddin,NA,Female,950,NE,1000,NE,50,Dark,wot
Alsera,NA,Female,NA,NA,NA,NA,NA,NA,wot
Alstaing,NA,Female,NA,NA,NA,NA,NA,NA,wot
Altalin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Alteima,NA,Female,NA,NA,NA,NA,NA,Black,wot
Alvistere,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Doesine Alwain,NA,Female,867,NE,1000,NE,133,NA,wot
Alwhin,NA,Female,NA,NA,1000,NE,NA,NA,wot
Alysa,NA,Female,NA,NA,NA,NA,NA,Dark,wot
Amar,NA,Female,NA,NA,NA,NA,NA,NA,wot
Amaresu,NA,Female,NA,NA,NA,NA,NA,NA,wot
Amaryn,NA,Female,NA,NA,NA,NA,NA,NA,wot
Zemaille Amassa,NA,Female,931,NE,NA,NA,NA,Black,wot
Lemai Ambani,NA,Female,NA,NA,NA,NA,NA,NA,wot
Merana Ambrey,NA,Female,889,NE,NA,NA,NA,NA,wot
Saraline Amerano,NA,Female,NA,NA,NA,NA,NA,NA,wot
Savion Amhara,NA,Female,NA,NA,NA,NA,NA,NA,wot
Amylia,NA,Female,NA,NA,NA,NA,NA,NA,wot
Amys,NA,Female,NA,NA,NA,NA,NA,Silver,wot
Frielle Anan,NA,Female,NA,NA,NA,NA,NA,NA,wot
Leral Anan,NA,Female,NA,NA,NA,NA,NA,NA,wot
Marah Anan,NA,Female,NA,NA,NA,NA,NA,NA,wot
Setalle Anan,NA,Female,902,NE,NA,NA,NA,Gray,wot
Ananda,NA,Female,NA,NA,999,NE,NA,Black,wot
Anasai,NA,Female,NA,NA,NA,NA,NA,NA,wot
Sashalle Anderly,NA,Female,816,NE,NA,NA,NA,NA,wot
Andhilin,NA,Female,NA,NA,NA,NA,NA,NA,wot
Andil,NA,Female,NA,NA,NA,NA,NA,NA,wot
Rianna Andomeran,NA,Female,NA,NA,NA,NA,NA,Black,wot
Mistress Andscale,NA,Female,NA,NA,NA,NA,NA,NA,wot
Anemara,NA,Female,NA,NA,NA,NA,NA,NA,wot
Mistress Anford,NA,Female,NA,NA,NA,NA,NA,Gray,wot
